
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.6)

2025-10-22T09:41:15.460+02:00  INFO 121378 --- [gateway] [           main] c.jdrbibli.gateway.GatewayApplication    : Starting GatewayApplication v1.0-SNAPSHOT using Java 21.0.8 with PID 121378 (/home/gollum/Documents/jdrbibli/gateway/target/gateway-1.0-SNAPSHOT.jar started by gollum in /home/gollum/Documents/jdrbibli/gateway)
2025-10-22T09:41:15.462+02:00  INFO 121378 --- [gateway] [           main] c.jdrbibli.gateway.GatewayApplication    : No active profile set, falling back to 1 default profile: "default"
2025-10-22T09:41:15.463+02:00 DEBUG 121378 --- [gateway] [           main] o.s.boot.SpringApplication               : Loading source class com.jdrbibli.gateway.GatewayApplication
2025-10-22T09:41:15.518+02:00 DEBUG 121378 --- [gateway] [           main] onfigReactiveWebServerApplicationContext : Refreshing org.springframework.boot.web.reactive.context.AnnotationConfigReactiveWebServerApplicationContext@b1712f3
2025-10-22T09:41:15.534+02:00 DEBUG 121378 --- [gateway] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2025-10-22T09:41:15.545+02:00 DEBUG 121378 --- [gateway] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2025-10-22T09:41:15.601+02:00 DEBUG 121378 --- [gateway] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/home/gollum/Documents/jdrbibli/gateway/target/gateway-1.0-SNAPSHOT.jar/!BOOT-INF/classes/!/com/jdrbibli/gateway/config/LoggingFilter.class]
2025-10-22T09:41:15.607+02:00 DEBUG 121378 --- [gateway] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/home/gollum/Documents/jdrbibli/gateway/target/gateway-1.0-SNAPSHOT.jar/!BOOT-INF/classes/!/com/jdrbibli/gateway/config/CorsConfig.class]
2025-10-22T09:41:15.607+02:00 DEBUG 121378 --- [gateway] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/home/gollum/Documents/jdrbibli/gateway/target/gateway-1.0-SNAPSHOT.jar/!BOOT-INF/classes/!/com/jdrbibli/gateway/config/GatewayConfig.class]
2025-10-22T09:41:15.608+02:00 DEBUG 121378 --- [gateway] [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:nested:/home/gollum/Documents/jdrbibli/gateway/target/gateway-1.0-SNAPSHOT.jar/!BOOT-INF/classes/!/com/jdrbibli/gateway/config/SecurityConfig.class]
2025-10-22T09:41:16.271+02:00 DEBUG 121378 --- [gateway] [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'refreshScope'
